iter	Passed	Remaining
0	1	103
1	1	92
2	2	91
3	3	89
4	4	88
5	5	85
6	6	82
7	7	80
8	7	78
9	8	76
10	9	74
11	9	73
12	10	71
13	11	70
14	12	69
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	61
23	19	60
24	19	59
25	20	58
26	21	58
27	22	57
28	23	56
29	24	56
30	24	55
31	25	54
32	26	54
33	27	53
34	28	53
35	29	52
36	30	51
37	31	51
38	32	50
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	25
70	59	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	20
76	64	19
77	64	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	81	0
99	81	0
